Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Dashboard Admin - Job Vacancy,Chrome 102.0.5005.63,,,2022-06-11 01:45:51,2022-06-11 01:47:43,"1m - 51,612s",FAILED
,,,,,,,
Test Cases/TC Login Dashboard Admin,Chrome 102.0.5005.63,,,2022-06-11 01:45:52,2022-06-11 01:46:26,"34,847s",PASSED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-11 01:45:52,2022-06-11 01:46:05,"13,077s",PASSED
"navigateToUrl(""https://cms-comphy.herokuapp.com/"")",Chrome 102.0.5005.63,,,2022-06-11 01:46:05,2022-06-11 01:46:09,"3,524s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Admin Comphy - Login/img_Welcome Back Admin Comphy_w-50""), 0)",Chrome 102.0.5005.63,,,2022-06-11 01:46:09,2022-06-11 01:46:10,"1,427s",PASSED
"setText(findTestObject(""Object Repository/Page_Admin Comphy - Login/input_Welcome Back Admin Comphy_inputEmail""), Username)",Chrome 102.0.5005.63,,,2022-06-11 01:46:10,2022-06-11 01:46:11,"0,805s",PASSED
Thread.sleep(2000),Chrome 102.0.5005.63,,,2022-06-11 01:46:11,2022-06-11 01:46:13,"2,046s",PASSED
"setText(findTestObject(""Object Repository/Page_Admin Comphy - Login/input_Welcome Back Admin Comphy_inputPassword""), Password)",Chrome 102.0.5005.63,,,2022-06-11 01:46:13,2022-06-11 01:46:14,"0,870s",PASSED
Thread.sleep(2000),Chrome 102.0.5005.63,,,2022-06-11 01:46:14,2022-06-11 01:46:16,"2,003s",PASSED
"click(findTestObject(""Object Repository/Page_Admin Comphy - Login/a_Login""))",Chrome 102.0.5005.63,,,2022-06-11 01:46:16,2022-06-11 01:46:17,"0,716s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Comphy - Admin/div_CMS Comphy""), 0)",Chrome 102.0.5005.63,,,2022-06-11 01:46:17,2022-06-11 01:46:22,"4,794s",PASSED
"click(findTestObject(""Object Repository/Page_Comphy - Admin/span_Admin""))",Chrome 102.0.5005.63,,,2022-06-11 01:46:22,2022-06-11 01:46:22,"0,441s",PASSED
"click(findTestObject(""Object Repository/Page_Comphy - Admin/a_Logout""))",Chrome 102.0.5005.63,,,2022-06-11 01:46:22,2022-06-11 01:46:22,"0,372s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Comphy - Admin/div_Select Logout below if you are ready to_ea7f33""), 0)",Chrome 102.0.5005.63,,,2022-06-11 01:46:22,2022-06-11 01:46:23,"0,611s",PASSED
"click(findTestObject(""Object Repository/Page_Comphy - Admin/a_Logout_1""))",Chrome 102.0.5005.63,,,2022-06-11 01:46:23,2022-06-11 01:46:25,"2,322s",PASSED
closeBrowser(),Chrome 102.0.5005.63,,,2022-06-11 01:46:25,2022-06-11 01:46:26,"1,056s",PASSED
,,,,,,,
Test Cases/TC Login Dashboard Admin,Chrome 102.0.5005.63,,,2022-06-11 01:46:26,2022-06-11 01:46:48,"21,820s",FAILED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-11 01:46:27,2022-06-11 01:46:28,"1,440s",PASSED
"navigateToUrl(""https://cms-comphy.herokuapp.com/"")",Chrome 102.0.5005.63,,,2022-06-11 01:46:28,2022-06-11 01:46:32,"4,163s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Admin Comphy - Login/img_Welcome Back Admin Comphy_w-50""), 0)",Chrome 102.0.5005.63,,,2022-06-11 01:46:32,2022-06-11 01:46:34,"1,545s",PASSED
"setText(findTestObject(""Object Repository/Page_Admin Comphy - Login/input_Welcome Back Admin Comphy_inputEmail""), Username)",Chrome 102.0.5005.63,,,2022-06-11 01:46:34,2022-06-11 01:46:35,"0,833s",PASSED
Thread.sleep(2000),Chrome 102.0.5005.63,,,2022-06-11 01:46:35,2022-06-11 01:46:37,"2,001s",PASSED
"setText(findTestObject(""Object Repository/Page_Admin Comphy - Login/input_Welcome Back Admin Comphy_inputPassword""), Password)",Chrome 102.0.5005.63,,,2022-06-11 01:46:37,2022-06-11 01:46:37,"0,785s",PASSED
Thread.sleep(2000),Chrome 102.0.5005.63,,,2022-06-11 01:46:37,2022-06-11 01:46:39,"2,001s",PASSED
"click(findTestObject(""Object Repository/Page_Admin Comphy - Login/a_Login""))",Chrome 102.0.5005.63,,,2022-06-11 01:46:39,2022-06-11 01:46:40,"0,604s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Comphy - Admin/div_CMS Comphy""), 0)",Chrome 102.0.5005.63,,,2022-06-11 01:46:40,2022-06-11 01:46:48,"8,326s",FAILED
,,,,,,,
Test Cases/TC Login Dashboard Admin,Chrome 102.0.5005.63,,,2022-06-11 01:46:48,2022-06-11 01:47:43,"54,319s",FAILED
